"load_id","client_name","integration_id","load_code","delivery_date","locality_name","vehicle_name","dock","assembled_percentage","checked_percentage","loaded_percentage","load_status_name","load_weight","vehicle_weight_capacity","vehicle_weight_occupation","returnable_quantity_boxes","mix_quantity_boxes","quantity_boxes","returnable_assembler_quantity","mix_assembler_quantity","checker","checking_time","checker_under_count_error_quantity","checker_over_count_error_quantity","checker_total_error_quantity","checker_2","checking_time_2","checker_2_under_count_error_quantity","checker_2_over_count_error_quantity","checker_2_total_error_quantity","checker_3","checking_time_3","checker_3_under_count_error_quantity","checker_3_over_count_error_quantity","checker_3_total_error_quantity","loading_time","operation_time","created_at","updated_at","checking_time_total"
418,"1","1000189066",FCX9994,2026-01-22,CÂNDIDO MOTA,FCX9994,,100.0,100.0,100.0,Finalizado,4090.9000000000015,1000000.0,0.0,,1089,987,0,0,CONFERENTE / SUPERVISOR ,16.07,0,0,0,,,,,,,,,,,5.29,9.30,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,16.07
404,"1","1000185775",CYN9319,2026-01-09,CÂNDIDO MOTA,CYN9319,,100.0,100.0,100.0,Finalizado,971.0400000000002,1000000.0,0.0,,112,112,0,0,CONFERENTE / SUPERVISOR ,1.53,0,0,0,,,,,,,,,,,0.53,0.57,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,1.53
420,"1","1000189445",EYU3362,2026-01-22,CÂNDIDO MOTA,EYU3362,,100.0,100.0,100.0,Finalizado,4323.750000000002,1000000.0,0.0,,1053,1053,0,0,CONFERENTE / SUPERVISOR ,29.27,0,0,0,,,,,,,,,,,4.80,9.30,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,29.27
415,"1","1000189276",GBD5855,2026-01-22,CÂNDIDO MOTA,GBD5855,,100.0,100.0,100.0,Finalizado,5520.629999999997,1000000.0,1.0,,882,874,0,0,CONFERENTE / SUPERVISOR ,101.53,0,0,0,,,,,,,,,,,5.26,9.30,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,101.53
432,"1","1000188868",FCX9994,2026-01-23,CÂNDIDO MOTA,FCX9994,,100.0,100.0,100.0,Finalizado,5161.680000000002,1000000.0,1.0,,1418,1340,0,0,CONFERENTE / SUPERVISOR ,11.05,0,0,0,,,,,,,,,,,5.34,4.78,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,11.05
531,"1","1000190350",CMT0001,2026-01-30,CÂNDIDO MOTA,CMT0001,,100.0,100.0,100.0,Finalizado,2485.9700000000003,1000000.0,0.0,,550,545,0,0,CONFERENTE / SUPERVISOR ,15.85,0,0,0,,,,,,,,,,,2.59,4.00,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,15.85
562,"1","1000191688",EYU3363,2026-02-05,CÂNDIDO MOTA,EYU3363,,100.0,100.0,100.0,Finalizado,7776.630000000002,1000000.0,1.0,,1000,851,0,0,CONFERENTE / SUPERVISOR ,68.55,0,0,0,,,,,,,,,,,2.61,8.40,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,68.55
567,"1","1000191030",TLJ3H13,2026-02-05,CÂNDIDO MOTA,TLJ3H13,,100.0,100.0,100.0,Finalizado,3503.0,1000000.0,0.0,,710,650,0,0,CONFERENTE / SUPERVISOR ,8.48,0,0,0,,,,,,,,,,,2.61,8.40,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,8.48
607,"1","1000194185",FQU8482,2026-02-23,CÂNDIDO MOTA,FQU8482,,100.0,100.0,100.0,Finalizado,3067.5000000000005,1000000.0,0.0,,350,342,0,0,CONFERENTE / SUPERVISOR ,41.23,0,0,0,,,,,,,,,,,5.57,7.75,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,41.23
481,"1","1000190371",EYU3370,2026-01-28,CÂNDIDO MOTA,EYU3370,,100.0,100.0,100.0,Finalizado,4180.770000000004,1000000.0,0.0,,940,851,0,0,CONFERENTE / SUPERVISOR ,47.77,0,0,0,,,,,,,,,,,5.00,6.32,2026-09-22 10:03:01.955 -0300,2026-09-22 10:03:01.955 -0300,47.77
